,business_id,variable,value
0,0kZ4aYmqf5fzTt9Yvz8Kvw,checkin_info.0-0,1.0
1,PttpsvUJJiIyLd3ZjSnjCQ,checkin_info.0-0,1.0
2,3fA43apyr5i8PAm0Az04hQ,checkin_info.0-0,1.0
3,S3iZm7-MKPhvXWZRPqC_Og,checkin_info.0-0,1.0
4,_I-hcsM-TFQkBgSjpk7JLQ,checkin_info.0-0,1.0
5,_fn0UIgqzCtxXcmHRi8FOw,checkin_info.0-0,1.0
6,iTYLYN_8rsJ4Nqp-JRuVpQ,checkin_info.0-0,1.0
7,AxdOGtJ8bJmL8uXB0AQS5A,checkin_info.0-0,1.0
8,2Hh2SOWvp5IkAAO4PQ0n2Q,checkin_info.0-0,1.0
9,7hZGtb0Gd3aRcG1VH-Udcw,checkin_info.0-0,1.0
10,fphcaoXU9ywS5t3zEqYyvA,checkin_info.0-0,1.0
11,ES-j5yNTgmgbL4He0h6otA,checkin_info.0-0,1.0
12,wv2AUfRGki23WqQ5nul6Pw,checkin_info.0-0,1.0
13,3RPwSu6uANkE4M3hnB8E2g,checkin_info.0-0,1.0
14,BW7Y49eHiOx5GRYAOlsuww,checkin_info.0-0,1.0
15,EZj6TccVNlvYLSEI6dbyeQ,checkin_info.0-0,1.0
16,_OYlq2UoKPQO_ElqhC3a8w,checkin_info.0-0,1.0
17,5uAl0vir-7LoF79NsRj9Vw,checkin_info.0-0,1.0
18,-4mNZfAXMd2mxEsD2YRcaQ,checkin_info.0-0,1.0
19,xJfTweURN5OIPUztC8Ji_A,checkin_info.0-0,1.0
20,74NT13vpDleoNrkxQdEpsQ,checkin_info.0-0,1.0
21,VITfBcUDd5Gigq8H1MU8Hg,checkin_info.0-0,1.0
22,x_9nxwoGl7NBSzpBsD4iVA,checkin_info.0-0,1.0
23,DmiNLRML9Z2UORkO2PEaew,checkin_info.0-0,1.0
24,af4saM2obxtAbYfItxb20A,checkin_info.0-0,1.0
25,Urw6wXWzGAuTOUfcaqXoPQ,checkin_info.0-0,1.0
26,rP3dnTkWtRUPtcFClkZ9lA,checkin_info.0-0,1.0
27,x_ja14flw4OtYLuTaYHaaw,checkin_info.0-0,1.0
28,p9riNqhTzGbWNXX8HN_E0w,checkin_info.0-0,1.0
29,2QB0rK7bjym4kHT0YxyXjw,checkin_info.0-0,1.0
30,1uhipArheEVbwWyoAbKAGg,checkin_info.0-0,1.0
31,9RjCCr66IBiP_mZQcYGejg,checkin_info.0-0,1.0
32,s2zkypQHNsnzEJrCNVBYiQ,checkin_info.0-0,1.0
