,yelping_since,compliments_plain,review_count,compliments_cute,compliments_writer,fans,compliments_note,compliments_hot,compliments_cool,compliments_profile,average_stars,compliments_more,elite,name,user_id,votes_cool,compliments_list,votes_funny,compliments_photos,compliments_funny,votes_useful
0,2009-02,11.0,177,3.0,3.0,19,5.0,10.0,8.0,1.0,3.54,1.0,[2010],Tiffany,aOJ4uZRLWa0lSywn2g7u-g,119,1.0,128,5.0,4.0,293
1,2009-02,10.0,213,,3.0,6,3.0,6.0,4.0,,4.09,,"[2012, 2013, 2014, 2015]",Danielle,G_U1bVf5wOA1tudWuyuJqg,97,,42,1.0,,325
2,2009-02,59.0,246,2.0,16.0,5,27.0,17.0,47.0,1.0,3.74,10.0,"[2010, 2011, 2012]",Brandon,qbVQI5kPK7q1LkQ13I7xIQ,235,1.0,218,5.0,19.0,405
3,2009-02,7.0,254,,9.0,11,4.0,2.0,12.0,1.0,3.4,1.0,"[2010, 2011, 2012, 2013, 2014, 2015]",Chris,QRKInqQVBZn_8XCvckh6Og,139,1.0,88,2.0,4.0,421
4,2009-02,55.0,257,4.0,15.0,14,22.0,37.0,71.0,2.0,3.71,5.0,"[2010, 2011, 2012]",Michael,rx--WdQuyFrUaLl8Hk0AAw,326,1.0,335,6.0,25.0,618
5,2009-02,31.0,911,2.0,20.0,31,32.0,15.0,53.0,,3.1,4.0,[],Cass,7jOAowWbwD-ER1hJE_GAeQ,466,9.0,529,2.0,24.0,1684
6,2009-02,89.0,442,26.0,159.0,91,60.0,196.0,166.0,27.0,3.74,18.0,"[2010, 2011, 2012, 2013, 2014, 2015]",Stephanie,NSPP7lHF_jIBt4yf8RyHPA,995,7.0,799,37.0,43.0,1365
7,2009-02,314.0,294,54.0,145.0,59,108.0,437.0,419.0,43.0,3.9,16.0,"[2009, 2010, 2011, 2012, 2013, 2014, 2015]",Cat,MdCZyRN4HfrfnmJlvTugEg,1794,14.0,1649,62.0,197.0,2091
8,2009-02,38.0,298,,26.0,18,27.0,26.0,62.0,,3.51,5.0,"[2011, 2012, 2013, 2014]",Meghan,-Gdjho_gZhgTXkYmSPy0qw,311,1.0,322,4.0,19.0,683
9,2009-02,27.0,398,3.0,22.0,25,18.0,25.0,37.0,3.0,3.97,6.0,"[2009, 2010, 2011, 2012, 2013, 2014, 2015]",Brittany,gV-ocNPI7ZLAwAAoXtttvA,325,7.0,258,2.0,12.0,715
10,2009-02,260.0,1280,5.0,208.0,73,189.0,245.0,505.0,7.0,3.46,21.0,"[2011, 2012, 2013, 2014, 2015]",Randoll,Wa5MTuOhTTV7A0A7AmYY9Q,4902,,3594,110.0,181.0,5978
11,2009-02,160.0,266,8.0,122.0,27,90.0,122.0,113.0,9.0,4.02,9.0,"[2010, 2011, 2012, 2013, 2014]",Marie,4OuVC6LMzSPaL-xfhv8zZA,761,2.0,694,28.0,40.0,1047
12,2009-02,97.0,548,10.0,57.0,45,62.0,150.0,184.0,6.0,3.57,18.0,"[2009, 2010, 2011, 2012, 2013, 2014, 2015]",Rachael,Gqh-c7djfAbkIOMRlXMJ_g,714,15.0,481,23.0,72.0,1239
13,2009-02,596.0,1423,54.0,617.0,154,271.0,652.0,834.0,36.0,3.81,103.0,"[2011, 2012, 2013, 2014, 2015]",Laura,QPSq3SwbTZbTB1dx6Ms2Lw,4592,17.0,4285,194.0,329.0,6493
14,2009-02,8.0,119,,15.0,5,8.0,6.0,13.0,1.0,3.72,2.0,"[2012, 2013, 2014, 2015]",Laurie,248ZWxTJ7f7JKaZwrarPYw,50,,28,4.0,,131
15,2009-02,5.0,53,,3.0,21,4.0,1.0,,,3.69,,[],Nile,toiVqdgowUoD4zAoMfslgw,56,,148,,4.0,131
16,2009-02,6.0,84,1.0,5.0,2,7.0,4.0,13.0,1.0,3.74,1.0,[],Stephanie,v-tdfcVcghxjSaac5Itm-Q,62,,45,,1.0,131
17,2009-02,6.0,45,,17.0,4,,16.0,12.0,,3.81,2.0,"[2009, 2010]",Dayna,wtJiNPb1jRXTNrcIE5Zmhg,77,3.0,103,,6.0,139
18,2009-02,8.0,238,1.0,8.0,10,4.0,13.0,12.0,2.0,3.68,1.0,"[2011, 2012]",ellainne,CG6qDYwx5oJcKnezPDiUlw,46,,65,3.0,6.0,139
19,2009-02,5.0,145,1.0,2.0,4,2.0,5.0,8.0,,3.73,,[],Maya-Luisa,yDP3kQ-nphcTn4w0MsWorA,59,,47,,1.0,139
20,2009-02,28.0,80,,11.0,7,2.0,10.0,31.0,,4.04,5.0,"[2010, 2011, 2013]",Nicole,_BElgcFfdjthzeFnDEA4YQ,86,,38,3.0,2.0,147
21,2009-02,1.0,137,,1.0,1,5.0,,2.0,,3.85,2.0,[2015],Christopher,H1o_9JBW_ilE3GM_DmBQrg,41,,29,,1.0,147
22,2009-02,,162,,5.0,5,,2.0,8.0,,3.78,,"[2010, 2011, 2012, 2013]",Ceal,kd_LHu1H8m2_qOS52o1y6Q,40,,24,,2.0,155
23,2009-02,3.0,132,,5.0,3,3.0,5.0,9.0,,3.95,2.0,[2015],Chelsea,-la6YVHqiwf2fR8o617mBQ,80,1.0,46,,1.0,155
24,2009-02,6.0,189,1.0,,7,2.0,4.0,9.0,,4.12,1.0,"[2012, 2013, 2014, 2015]",Kim,O4XY-PPIIkDjknKImdn_sw,96,,77,1.0,1.0,171
25,2009-02,12.0,132,,8.0,7,7.0,9.0,18.0,1.0,3.78,1.0,"[2009, 2010, 2011]",Joshua,y_EpeLqFOpTLByWW943Kfw,115,1.0,109,,4.0,219
26,2009-02,13.0,85,1.0,5.0,7,2.0,5.0,4.0,,3.46,2.0,[],Liz,doiZ4Y-dwMavRwYtwwdnHA,89,,71,4.0,2.0,235
27,2009-02,4.0,128,,1.0,3,3.0,,1.0,,3.74,1.0,[],Andrea,IldNKx5L8unlcv3LBSs-_g,64,,56,1.0,2.0,235
28,2009-02,3.0,230,,1.0,5,,1.0,1.0,1.0,3.87,,[2015],Edwin,hu-PMRzl5z_caLlLP020dQ,136,,63,,1.0,235
29,2009-02,7.0,155,1.0,2.0,8,3.0,,8.0,,3.58,,"[2010, 2011]",Yushan,hmgB1WkwOAnhl49SdpLSPg,71,,76,,1.0,251
30,2009-02,3.0,212,1.0,5.0,19,6.0,,11.0,1.0,3.78,2.0,"[2014, 2015]",Tina,1I-JRiSTkuEugwBLhBuXKQ,147,,143,,2.0,294
31,2009-02,3.0,172,,5.0,16,4.0,7.0,10.0,1.0,3.64,2.0,[2010],Cara,WSSi9OQYw9lv47zivoPgAw,184,4.0,185,1.0,2.0,326
32,2009-02,43.0,124,6.0,21.0,24,29.0,44.0,42.0,5.0,3.62,13.0,"[2009, 2010, 2013]",Maureen,ZFAGG-nJ3ghEpj3eMa55xQ,169,3.0,216,4.0,37.0,358
33,2009-02,4.0,326,,4.0,7,5.0,1.0,3.0,,3.59,,"[2012, 2013, 2014, 2015]",Chris,pe-TswOdsoq9GjF4IDDbeA,105,,78,,3.0,390
34,2009-02,55.0,201,3.0,5.0,9,18.0,36.0,49.0,5.0,3.94,6.0,"[2009, 2010, 2011, 2012, 2013]",Christoph,uaFzQ9r7RQfzU2vme8FgFQ,334,2.0,303,,22.0,438
35,2009-02,13.0,302,,11.0,5,6.0,11.0,19.0,,4.15,1.0,"[2013, 2014, 2015]",Anthony,_u-DmK1f0oKAyU0SAeTZWg,156,,180,,3.0,470
36,2009-02,38.0,619,,3.0,16,18.0,1.0,20.0,,3.85,2.0,"[2009, 2010, 2011, 2012, 2013, 2014, 2015]",Neil,_czVhMtgTqM0BMT8VwocVg,195,,152,2.0,6.0,652
37,2009-02,17.0,901,,18.0,24,14.0,15.0,17.0,,4.13,2.0,"[2010, 2011, 2012, 2013, 2014, 2015]",Lauren,e4mZoYhRJFId1OTFJgvfIw,350,1.0,265,11.0,5.0,1049
38,2009-02,139.0,210,4.0,15.0,26,49.0,48.0,96.0,3.0,3.73,5.0,"[2009, 2010, 2011, 2012]",Eric,3S9TipwBnmkU1tzJrfCHBQ,441,10.0,384,4.0,46.0,781
39,2009-02,249.0,264,25.0,133.0,90,58.0,293.0,269.0,9.0,3.91,19.0,"[2009, 2010, 2011, 2012, 2013]",Helen,DA7JBTEjeEUH3F9o7v8Zwg,1033,10.0,841,96.0,51.0,1242
40,2009-02,22.0,470,,14.0,34,21.0,19.0,44.0,9.0,3.93,9.0,"[2009, 2010, 2011, 2012, 2013, 2014, 2015]",Hemang,uWak0g1TXVr8axztY8Bdkw,838,3.0,802,3.0,16.0,1115
41,2009-02,103.0,471,4.0,44.0,38,34.0,94.0,142.0,3.0,3.84,18.0,"[2009, 2010, 2012]",Jenni,Q3Zb1Ma8hCiawsIJ-8zYsQ,569,9.0,621,12.0,74.0,1243
42,2009-02,7.0,202,1.0,14.0,10,6.0,15.0,24.0,2.0,3.97,6.0,"[2010, 2011]",Emily,V0yDwzhfGUd922EhEKZZKw,148,,192,2.0,9.0,279
43,2009-02,6.0,329,,1.0,7,10.0,4.0,9.0,,3.39,1.0,[2010],Mario,tlTU1AaTAIdVIJALQ_cDww,243,,152,,4.0,359
44,2009-02,20.0,289,,7.0,7,9.0,13.0,11.0,2.0,3.54,2.0,"[2012, 2013, 2014, 2015]",Lysabeth,1D5q-rkfXgpx5_nAOF9LBw,112,,77,2.0,2.0,391
45,2009-02,2.0,204,,3.0,10,3.0,2.0,1.0,,3.47,,[2015],Scott,E3lWOZl8VqtR1l8FmqlNUw,116,,152,,1.0,391
46,2009-02,34.0,358,3.0,25.0,19,17.0,25.0,43.0,6.0,3.77,5.0,"[2009, 2010, 2011, 2012, 2013, 2014, 2015]",Nancy,a8WGgTp1GGQpJBp4INGJHA,250,3.0,234,14.0,13.0,487
47,2009-02,28.0,663,4.0,23.0,22,19.0,31.0,32.0,1.0,3.85,10.0,"[2010, 2011, 2012, 2013, 2014, 2015]",Analisa,Mt3dPqOlnlGyVCftCcokmg,395,,298,4.0,6.0,878
48,2009-02,154.0,436,18.0,27.0,35,62.0,194.0,189.0,8.0,3.77,7.0,"[2009, 2010, 2011, 2012, 2013]",Tisha,N9n6XgHfiaaP1axKw0cyyA,721,6.0,821,20.0,96.0,1116
49,2009-02,795.0,358,55.0,140.0,56,177.0,447.0,623.0,27.0,3.98,30.0,"[2009, 2010, 2011, 2012, 2013, 2014, 2015]",Ako,mGJwdIKUI6nQRZXm_w6HPA,1932,139.0,1216,83.0,322.0,2489
50,2009-02,41.0,447,1.0,42.0,20,17.0,53.0,62.0,2.0,3.99,3.0,"[2010, 2011, 2012, 2013, 2014, 2015]",Elizabeth,MuF1JfULuUwed_QqYjQazg,587,1.0,407,2.0,16.0,1309
51,2009-02,113.0,578,13.0,37.0,58,93.0,85.0,124.0,19.0,3.86,8.0,"[2010, 2011, 2012, 2013, 2014, 2015]",Caitlin,r7YjAfr4fD46IJJ_3udP-A,958,2.0,737,35.0,41.0,1565
52,2009-02,26.0,241,2.0,55.0,23,31.0,42.0,83.0,2.0,3.91,13.0,"[2009, 2010, 2011, 2012, 2013]",Julee,4lkaEm0lKSt_ePrShKo3pw,512,6.0,449,11.0,13.0,687
53,2009-02,48.0,442,1.0,25.0,22,18.0,19.0,20.0,,3.64,7.0,"[2012, 2013, 2014, 2015]",Matt,hcpEWVuP0Kfhz1EHtU-gXg,212,,169,20.0,13.0,943
54,2009-02,202.0,302,2.0,100.0,20,57.0,77.0,197.0,5.0,3.98,3.0,"[2010, 2011, 2012, 2013, 2014, 2015]",Julio,yqmZ7KE_mlyO9cOTqOxJRA,904,2.0,536,2.0,22.0,1246
55,2009-02,438.0,737,41.0,240.0,50,190.0,694.0,626.0,52.0,3.5,47.0,"[2010, 2011, 2014, 2015]",Sebastian,NCd7JMAVS1qf1dEXKsrbaQ,4717,7.0,4528,105.0,412.0,5496
56,2009-02,,20,,,0,,,,,3.9,,[],Daniel,UyB7zOJOwbbEptLAbPueqg,4,,6,,,33
57,2009-02,,43,,,3,,,,,2.98,,[],Cat,iz6c5-Qz-a8WrV7H-qo-Sg,6,,12,,,33
58,2009-02,2.0,29,,2.0,1,,,,,4.21,,[],John,q0nNtzD7QCKGE7NjmJsscQ,15,,5,,,33
59,2009-02,1.0,77,,1.0,1,,,3.0,,4.17,,[],Loren,vZqL95LDeEGEFVLy98-eMA,9,,7,,,33
60,2009-02,,35,,,1,1.0,,1.0,,3.23,,[],Ashley,wzIoWw1AM8whhn9BIdIYyw,9,,15,,,33
61,2009-02,1.0,19,2.0,,0,,,,,3.53,,[],Maya,8-98T_0Z1l9hBYXHfaHFPQ,14,,31,,2.0,33
62,2009-02,6.0,14,,1.0,1,,4.0,,,3.36,,[],Tiffany,qMBFQh1w-WWCEP4mPMXC6w,10,,11,,3.0,35
63,2009-02,,8,,,5,,1.0,1.0,,4.12,,[],Dan,TBi4YMGiieu9bCF9J5V8VQ,10,,2,,1.0,35
64,2009-02,,18,,2.0,2,3.0,,1.0,,4.11,1.0,[],Don,hyE0AKg2BhL0KZiaSC09xQ,13,,9,,,35
65,2009-02,1.0,19,,1.0,1,2.0,,1.0,,3.1,,[],Holly,XFtR4CccaDyfvVs-ST41tw,8,,6,,1.0,35
66,2009-02,,26,,,0,,,,,2.31,,[],S.,1hEkwISg5j6pb-qwAMR2vg,4,,13,,1.0,35
67,2009-02,5.0,63,,1.0,2,,,,,4.09,,[],Martha,adr8E_j2zRtagobHp6BlcA,11,,13,,1.0,35
68,2009-02,,20,,,0,,2.0,,,4.05,,[],Lauren,o2RR5toPFjOlCPYzDwj4jg,3,,5,,,37
69,2009-02,,38,,1.0,0,1.0,1.0,1.0,,3.18,,[],W,VLnu7_1KqpaW_JCydm5mvA,16,,4,,1.0,37
70,2009-02,3.0,22,,,5,,,1.0,,4.9,,[],Robbie,CyDNXXPlk-WBYfLSdp4lrA,19,,8,,1.0,37
71,2009-02,1.0,62,,2.0,2,1.0,1.0,1.0,,3.95,,[],Maggie,PT8ix_f1XvyuuRu_viz5Yw,9,,13,1.0,,37
72,2009-02,2.0,71,,,2,2.0,2.0,4.0,,4.15,3.0,"[2010, 2011]",Heather,eh9xMqg7cEo9kcmuNwYzaA,28,,16,,,39
73,2009-02,,25,,1.0,0,1.0,,3.0,,4.31,1.0,[],Shaunte,2NafuNWVftdVwmjkLqv2jw,26,,25,,,39
74,2009-02,1.0,23,,,2,1.0,,,,3.28,,[],Kevin,oFUZfO4iSrowGgMXy8tF_w,2,,18,,1.0,39
75,2009-02,1.0,26,,,1,,,1.0,,4.33,,[],Bryan,3YaJ2W7cJy-MFo3Ntsod7A,8,,13,,1.0,39
76,2009-02,,76,3.0,2.0,7,1.0,1.0,3.0,,3.4,,[],Rosa,0Y_90u2JlAhPdOhKvy89ew,20,,22,,2.0,39
77,2009-02,,41,,2.0,3,,5.0,3.0,1.0,3.61,2.0,[],Ernesto,x3Gky7Lt11yquudTPXtkbQ,31,,19,,,39
78,2009-02,,22,,,0,,1.0,1.0,,3.6,,[],Patti,-UdwnIQPRdiwexFNb3nW8Q,11,,6,,,39
79,2009-02,2.0,26,,,0,1.0,,4.0,,3.88,,[],Jeff,7GAjxEA-OscXgPt7YFgkBw,21,,18,,1.0,41
80,2009-02,,20,1.0,,0,,,,,3.4,,[],Amanda,DY-U7c0451pUs25p_AhUgQ,13,,12,,1.0,41
81,2009-02,2.0,30,,2.0,3,,1.0,2.0,,4.33,,[],Amnaj,5HBY4_-ohOBriA_CuXGf1Q,32,,11,,,41
82,2009-02,1.0,33,,,2,,,1.0,,3.67,1.0,[],Angel,CWwCFCiXgLgdwuVtcILV4g,12,,3,,1.0,43
83,2009-02,1.0,35,,1.0,3,3.0,5.0,1.0,,4.49,,[],Mike,z_SAA_fwDUVj307ftcz9Og,14,,8,,,43
84,2009-02,1.0,23,,1.0,1,1.0,1.0,,,3.79,,[],aaron,tCKN_ILGifNvpJMENTXOkQ,13,,21,,1.0,43
85,2009-02,,27,,1.0,0,3.0,,,,3.14,,[],Kelly,ykt2yDdsGvBQylfmUMnG2w,7,,8,,,43
86,2009-02,1.0,47,,1.0,1,,,2.0,,4.37,1.0,[],SUZIE,hSUKfxx3R8k2JcT77Sm4ag,21,,8,,,45
87,2009-02,1.0,59,,,1,,,2.0,,3.39,,[],DC,FKkib2naDmaZdh7F2aNwOA,22,,22,,,45
88,2009-02,,28,,1.0,2,,2.0,1.0,,3.93,,[],Mike,VC0Ks6kLVz4O2uECdqGv_Q,21,,30,,,45
89,2009-02,1.0,40,,,0,1.0,,1.0,,3.83,,[],Jennifer,4LOAIzwMi-tJR0-AMv4_SQ,12,,5,1.0,,45
90,2009-02,,42,,1.0,0,,,,,3.71,,[],Mandy,Ft-gW6sg3WRfi3dnEh9uzA,12,,14,,,47
91,2009-02,,21,,,2,,1.0,,,3.38,,[],Michelle,qXTuRO__tXRoieoA_zKfXw,18,,11,,,47
92,2009-02,,38,,,1,3.0,,1.0,,3.35,,[],K,GKL9KgElYEo1zwcsaJnj6w,24,,33,,,47
93,2009-02,,29,,,1,2.0,1.0,,,4.4,,[],Teddy,y5IOYCIy0kzRhNrHU48KTA,19,,10,,1.0,47
94,2009-02,,57,,,1,,1.0,,,3.51,,[],Bob,qWKSjoXIbjbqn2SWv6F9nw,15,,11,,,47
95,2009-02,,49,,1.0,3,2.0,,3.0,,3.61,1.0,[],wilbur,tKTki4oft1zZHN2hU817_A,13,,10,,,47
96,2009-02,,11,,,1,1.0,1.0,1.0,,3.5,,[],S,EwhmbMMSyCr1SrIN5O7-SA,3,,16,,,47
97,2009-02,1.0,15,,1.0,0,,,,,3.67,,[],Bill,jhlXhhIT_mtMOvVbsqymaQ,13,,13,,1.0,49
98,2009-02,,59,,,1,,1.0,1.0,,3.58,,[],Leslie,kK1X98w5qteFwP1UggsKGQ,24,,8,,,49
99,2009-02,,16,,,0,,,,,2.88,,[],red,R9O--tz_X5NjZB0UHrRwpg,3,,4,,,51
100,2009-02,1.0,88,,1.0,1,1.0,,,,3.76,,[],SHANT,3Tb2fLfmq_uFN6puIevcvg,14,,26,,,51
101,2009-02,,23,,,2,3.0,3.0,4.0,,3.96,,[],Deona,kuShIXalQPy0vqI_N7bz7A,31,,18,,,51
102,2009-02,1.0,26,,,0,1.0,,3.0,,3.85,,[],Robert,FszaJyPTugrQy2NZOCsPOw,13,,12,,,51
103,2009-02,5.0,54,,2.0,3,,1.0,5.0,,4.43,,[],Jessica,gETRmDtWo8UyFDd2MymVgw,41,1.0,34,,3.0,51
104,2009-02,,49,,,1,,,,,3.71,,[],Todd,7-ly4LI9XWLXkFiM2vHxrw,32,,25,,,51
105,2009-02,1.0,14,,3.0,4,1.0,3.0,2.0,1.0,3.73,,[],Thao,zaZ1rXDCZklXoPSZq2jdrg,21,,17,2.0,2.0,53
106,2009-02,,24,,3.0,4,,,1.0,,4.36,,[],Britt,PhncwikC8rJ0L6dFgwu9uw,20,,10,1.0,,53
107,2009-02,,57,,,6,,,,,4.33,,[],Adam,CvppIdN5gA94rztDnAsToA,29,,25,,,53
108,2009-02,,71,,,0,2.0,1.0,3.0,,3.35,,[],Charlotte,4_fx9YPZp_E0alW6HV_nKQ,18,,18,,1.0,53
109,2009-02,3.0,27,,1.0,0,,,,,4.73,1.0,[],Julia,VRDiQMV8GN3JySRjmdraEg,10,,3,,2.0,53
110,2009-02,,42,,,0,,,,,3.84,,[],David,dTJohVhrW8UMuHApeo_xtw,23,,34,,6.0,53
111,2009-02,3.0,114,,,11,1.0,1.0,5.0,,4.07,,[],Jimmy,H00XbCPjwdBYcTnou_jt1Q,30,,31,5.0,1.0,53
112,2009-02,,51,,1.0,2,1.0,,1.0,,3.78,,[],Lisa,EeMMmgH93cAWc9efkIWICg,8,,7,,,55
113,2009-02,,20,,,1,,,,,4.05,,[],Brian,zdGWojbB0pDpHT5sR55fMg,32,,46,,3.0,55
114,2009-02,,72,,,0,,,2.0,,4.16,,[],Matt,Poe51tV71Ngel2WROrfwHw,24,,30,1.0,,57
115,2009-02,1.0,33,,1.0,3,,,2.0,,4.08,2.0,[],Traci,rFdMb6eJKtoRc2MKtoxg-g,39,,14,,,57
116,2009-02,,68,,1.0,1,1.0,,1.0,,3.81,,[],David,SPkoS_-r4ZixBxjwmzHrLg,8,,16,,,57
117,2009-02,,8,,,2,,,1.0,,3.88,,[],m,ybDMkgFzWdz_402XQSHclA,20,,13,,,57
118,2009-02,1.0,172,,,1,,,2.0,,3.57,,[],Kim T.,ucq67ROelrwfi59yuGSYWw,26,,32,,,59
119,2009-02,3.0,28,,1.0,2,,1.0,1.0,,3.61,,[],Miranda,S_JenniEYNVgmQQd2wwZrQ,40,,25,,,59
120,2009-02,,89,,,3,,1.0,2.0,,3.12,,[],Frederick,S00npLTh_MDx0HpdumNMiw,16,,11,,,61
121,2009-02,1.0,31,,2.0,1,1.0,1.0,1.0,,2.58,,[],John,My7H8FZuKNc0OvGWD-yZWA,10,,10,,,61
122,2009-02,6.0,65,,,0,1.0,2.0,6.0,,4.03,1.0,[],Lady,4Z8cvO35BcWdbG0iRgz6hA,19,,11,,,61
123,2009-02,,50,,,1,,1.0,,,2.92,,[],Dee,J4R2CLNpxsKimCqAMin3vA,25,,34,,,63
124,2009-02,,35,,2.0,2,1.0,1.0,3.0,,3.89,1.0,[],Lizzy,W79NHWsf7jw-lXVSwqI3Fw,24,,3,,,63
125,2009-02,1.0,31,,,0,,,1.0,,2.68,,[],Dee,FetzKACsdLZODVuFh5uyKA,8,,38,,,63
126,2009-02,12.0,45,,5.0,1,3.0,3.0,7.0,,3.83,,[],Keith,OenOT-9gu5hb2JqcJSBQTQ,34,,26,,4.0,63
127,2009-02,2.0,113,,,4,,,5.0,,3.93,1.0,[],Kurt,GnTuA6khkDdtvy1Aj-paiA,38,,23,4.0,,66
128,2009-02,,76,,1.0,2,,,4.0,,4.26,,[2012],Tammi,l7yBvVasDgwrscD2bnHJRg,31,,23,,,66
129,2009-02,,39,,1.0,3,,,1.0,,4.12,,[],Emily,soJTZawLXlfFq2BtuZdwKQ,27,,24,,,66
